Index;Company name;Sector;Market cap ;Location
CBA;Commonwealth Bank;Financials;181.383.616.958;Sydney
BHP;BHP;Materials;142.476.102.671;Melbourne/London
CSL;CSL;Healthcare;132.895.267.468;Melbourne
WBC;Westpac;Financials;92.946.500.000;Sydney
ANZ;Australia & New Zealand Banking Group;Financials;81.809.326.750;Melbourne
FMG;Fortescue;Materials;70.754.613.816;Perth
NAB;National Australia Bank;Financials;69.797.300.000;Melbourne
MQG;Macquarie Group;Financials;43.786.800.000;Sydney
GMG;Goodman Group;Real Estate;37.789.165.411;Sydney
WOW;Woolworths;Consumer Staples;37.770.300.000;Sydney
WES;Wesfarmers;Consumer Discretionary;37.620.800.000;Perth
TLS;Telstra;Communication Services;37.226.000.000;Melbourne
RIO;Rio Tinto;Materials;35.696.200.000;Melbourne/London
WDS;Woodside Energy;Energy;33.935.500.000;Perth
TCL;Transurban;Industrials;33.360.800.000;Melbourne
SQ2;Block Inc. CDI;Information Technology;27.475.711.683;San Francisco
ALL;Aristocrat Leisure;Consumer Discretionary;25.969.590.581;North Ryde
COL;Coles Group;Consumer Staples;22.730.162.020;Melbourne
SCG;Scentre Group;Real Estate;20.576.800.000;Sydney
S32;South32;Materials;19.751.200.000;Perth
NCM;Newcrest;Materials;18.683.900.000;Melbourne
SUN;Suncorp;Financials;17.594.700.000;Brisbane
QBE;QBE Insurance;Financials;16.409.200.000;Sydney
BXB;Brambles;Industrials;15.851.589.131;Sydney
FPH;Fisher & Paykel Healthcare;Healthcare;15.674.345.734;Auckland
COH;Cochlear;Healthcare;15.055.393.862;Sydney
ASX;ASX;Financials;14.914.571.280;Sydney
STO;Santos;Energy;14.413.700.000;Adelaide
RHC;Ramsay Health Care;Healthcare;13.090.800.000;Sydney
AMC;Amcor;Materials;12.997.008.427;Warmley, Bristol, United Kingdom
ORG;Origin Energy;Utilities;12.949.500.000;Sydney
IAG;Insurance Australia Group;Financials;12.941.776.082;Sydney
SHL;Sonic Healthcare;Healthcare;11.427.400.000;Sydney
DXS;Dexus;Real Estate;11.336.457.693;Sydney
BSL;BlueScope;Materials;11.164.346.278;Melbourne
APA;APA Group;Utilities;11.008.409.602;Sydney
TWE;Treasury Wine Estates;Consumer Staples;10.765.600.000;Melbourne
REA;REA Group;Communication Services;10.740.000.000;Melbourne
AIA;Auckland Airport;Industrials;10.425.662.050;Auckland
DMP;Domino's Pizza Enterprises;Consumer Discretionary;10.039.306.041;Brisbane
CPU;Computershare;Information Technology;9.834.750.883;Melbourne
TAH;Tabcorp;Consumer Discretionary;9.513.740.000;Melbourne
VCX;Vicinity Centres;Real Estate;9.424.880.000;Melbourne
MGR;Mirvac;Real Estate;9.401.550.000;Sydney
QAN;Qantas;Industrials;9.314.970.000;Sydney
GPT;GPT Group;Real Estate;9.070.431.340;Sydney
EVN;Evolution Mining;Materials;8.611.682.108;Sydney
SGP;Stockland;Real Estate;8.418.330.000;Sydney
BLD;Boral;Materials;8.242.021.345;Sydney
MPL;Medibank;Financials;7.821.370.000;Melbourne
JHX;James Hardie;Materials;7.801.540.000;Dublin
LLC;Lendlease;Real Estate;7.262.420.000;Sydney
SOL;Soul Patts;Energy;7.045.400.000;Sydney
ALD;Ampol;Energy;6.915.526.913;Sydney
WOR;Worley;Energy;6.870.040.000;Sydney
AZJ;Aurizon;Industrials;6.792.197.694;Brisbane
CHC;Charter Hall;Real Estate;6.786.372.799;Sydney
ORI;Orica;Materials;6.705.960.000;Melbourne
HVN;Harvey Norman;Consumer Discretionary;6.703.515.799;Sydney
XRO;Xero;Information Technology;6.685.840.000;Wellington
SVW;Seven Group Holdings;Industrials;6.566.570.000;Sydney
SEK;Seek;Communication Services;6.467.920.000;Melbourne
TPG;TPG Telecom;Communication Services;6.179.220.000;Sydney
MFG;Magellan Financial Group;Financials;6.173.270.000;Sydney
IEL;IDP Education;Consumer Discretionary;6.109.479.831;Melbourne
FBU;Fletcher Building;Industrials;6.008.829.273;Auckland
ALQ;ALS;Industrials;5.996.552.309;Brisbane
ALX;Atlas Arteria;Industrials;5.993.863.913;Bermuda
NST;Northern Star Resources;Materials;5.914.960.000;Perth
BEN;Bendigo & Adelaide Bank;Financials;5.860.403.299;Bendigo
WTC;Wisetech Global;Information Technology;5.798.960.000;Sydney
BOQ;Bank of Queensland;Financials;5.755.188.276;Brisbane
RMD;ResMed;Healthcare;5.723.900.000;San Diego, California
IGO;Independence Group;Materials;5.679.508.598;Perth
CWY;Cleanaway;Industrials;5.673.742.207;Melbourne
AGL;AGL Energy;Utilities;5.361.205.772;Sydney
ANN;Ansell;Healthcare;5.081.971.142;Melbourne
CAR;CAR Group;Communication Services;5.061.391.108;Richmond
AWC;Alumina;Materials;5.048.925.666;Southbank
VEA;Viva Energy;Energy;4.686.330.000;Melbourne
IPL;Incitec Pivot;Materials;4.603.073.319;Melbourne
WHC;Whitehaven Coal;Energy;4.514.600.000;Sydney
QUB;Qube Holdings;Industrials;4.463.420.000;Sydney
A2M;a2 Milk Company;Consumer Staples;4.222.573.287;Auckland
APE;Eagers Automotive;Consumer Discretionary;4.099.367.706;Brisbane
SGR;Star Entertainment Group;Consumer Discretionary;4.063.740.000;Sydney
LNK;Link Admin;Information Technology;4.044.590.000;Sydney
DOW;Downer Group;Industrials;3.990.353.494;Sydney
BRG;Breville Group;Consumer Discretionary;3.907.015.408;Sydney
AMP;AMP;Financials;3.814.625.158;Sydney
ORA;Orora;Materials;3.801.060.000;Melbourne
CGF;Challenger;Financials;3.681.127.599;Sydney
ALU;Altium;Information Technology;3.623.210.436;Chatswood
RWC;Reliance Worldwide Corporation;Industrials;3.563.330.000;Atlanta
ARB;ARB Corporation;Consumer Discretionary;3.447.251.812;Kilsyth
CIA;Champion Iron;Materials;3.367.002.491;Sydney
OZL;Oz Minerals;Materials;3.335.910.000;Adelaide
ILU;Iluka Resources;Materials;3.272.867.421;Perth
FLT;Flight Centre;Consumer Discretionary;3.179.210.670;Brisbane
BKW;Brickworks;Materials;3.159.271.477;Sydney
BPT;Beach Energy;Energy;3.095.769.771;Adelaide
GOZ;Growthpoint Properties;Real Estate;3.048.525.182;Melbourne
CTD;Corporate Travel Management;Consumer Discretionary;2.999.997.097;Brisbane
CLW;Charter Hall Long WALE REIT;Real Estate;2.948.032.800;Sydney
VUK;Virgin Money UK;Financials;2.934.000.000;Newcastle upon Tyne
CSR;CSR;Materials;2.917.150.484;Sydney
NEC;Nine Entertainment;Communication Services;2.907.700.000;Sydney
DHG;Domain Group;Communication Services;2.833.678.892;Sydney
MIN;Mineral Resources;Materials;2.828.920.000;Perth
BWP;BWP Trust;Real Estate;2.781.521.867;Perth
BAP;Bapcor;Consumer Discretionary;2.773.000.125;Preston
PDL;Pendal Group;Financials;2.728.500.000;Sydney
RRL;Regis Resources;Materials;2.711.520.000;Perth
HLS;Healius;Healthcare;2.710.144.569;Sydney
IFL;Insignia Financial;Financials;2.694.696.077;Melbourne
PME;Pro Medicus;Healthcare;2.648.000.000;Melbourne
NHF;Nib;Financials;2.628.530.000;Newcastle
PMV;Premier Investments;Consumer Discretionary;2.600.550.000;Melbourne
ABP;Abacus Property Group;Real Estate;2.504.889.941;Sydney
JBH;JB Hi-Fi;Consumer Discretionary;2.492.970.000;Melbourne
SDF;Steadfast Group;Financials;2.474.270.000;Sydney
MTS;Metcash;Consumer Staples;2.373.160.000;Sydney
CMW;Cromwell Property Group;Real Estate;2.368.810.961;Brisbane
SBM;St Barbara;Materials;2.343.580.000;Perth
TNE;TechnologyOne;Information Technology;2.340.340.000;Brisbane
SGM;Sims Metal;Materials;2.298.850.000;New York
DRR;Deterra Royalties;Materials;2.288.240.897;Perth
SCP;Shopping Centres Australasia Property Group;Real Estate;2.230.650.000;Sydney
CQR;Charter Hall Retail REIT;Real Estate;2.196.686.492;Sydney
CNU;Chorus;Communication Services;2.171.650.000;Wellington
NXT;NextDC;Information Technology;2.144.410.000;Brisbane
JHG;Janus Henderson;Financials;2.134.330.000;London
WEB;Webjet;Consumer Discretionary;2.122.160.000;Melbourne
ABC;Adbri;Materials;2.114.513.278;Adelaide
IRE;Iress;Information Technology;2.060.860.096;Melbourne
CCP;Credit Corp Group;Financials;1.994.566.176;Sydney
NUF;Nufarm;Materials;1.989.310.000;Melbourne
CIP;Centuria Industrial REIT;Real Estate;1.978.229.737;Sydney
NWL;Netwealth Group;Financials;1.949.000.000;Melbourne
INA;Ingenia Group;Real Estate;1.937.752.810;Sydney
PPT;Perpetual;Financials;1.913.740.000;Sydney
HUB;HUB24;Financials;1.879.162.423;Sydney
BGA;Bega Cheese;Consumer Staples;1.803.658.160;Bega
WPR;Waypoint REIT[17];Real Estate;1.756.310.000;Melbourne
ELD;Elders;Consumer Staples;1.746.470.293;Adelaide
IVC;InvoCare;Consumer Discretionary;1.587.549.278;Sydney
AUB;AUB Group;Financials;1.472.445.404;North Sydney
CKF;Collins Foods;Consumer Discretionary;1.470.089.487;Hamilton
IPH;IPH;Industrials;1.466.126.096;Sydney
SUL;Super Retail Group;Consumer Discretionary;1.462.610.000;Brisbane
CUV;Clinuvel Pharmaceut;Healthcare;1.424.005.941;Melbourne
ING;Inghams;Consumer Staples;1.393.798.504;Sydney
SLR;Silver Lake Resource;Materials;1.381.000.000;Perth
CGC;Costa Group;Consumer Staples;1.335.389.194;Ravenhall
BKL;Blackmores;Consumer Staples;1.324.020.534;Sydney
PLS;Pilbara Minerals;Materials;1.299.660.000;Perth
GOR;Gold Road Res;Materials;1.264.063.716;Perth
NAN;Nanosonics;Healthcare;1.244.520.000;Sydney
EML;EML Payments;Information Technology;1.210.315.894;Brisbane
GNC;GrainCorp;Consumer Staples;1.185.472.153;Sydney
NSR;National Storage;Real Estate;1.176.540.000;Brisbane
LYC;Lynas;Materials;1.171.600.000;Sydney
GUD;GUD Holdings;Consumer Discretionary;1.165.490.457;Melbourne
NWS;News Corp Class B;Communication Services;1.003.710.000;New York City
KLS;Kelsian Group;Industrials;925.000.000;Adelaide
AKE;Allkem;Materials;;Brisbane
ARF;Arena REIT;Real Estate;;Melbourne
AVZ;AVZ Minerals;Materials;;Perth
BRN;Brainchip;Information Technology;;Los Angeles
CCX;City Chic Collective;Consumer Discretionary;;Sydney
CHN;Chalice Mining;Materials;;Perth
CNI;Centuria Capital;Real Estate;;Sydney
CRN;Coronado Global Resources;Materials;;Brisbane
CXO;Core Lithium;Materials;;Adelaide
DEG;De Grey Mining;Materials;;Perth
EDV;Endeavour Group;Consumer Staples;;Sydney
EVT;Event Hospitality and Entertainment;Communication Services;;Sydney
HDN;HomeCo Daily Needs REIT;Real Estate;;Sydney
HMC;Home Consortium;Real Estate;;Sydney
IMU;Imugene;Healthcare;;Sydney
LIC;Lifestyle Communities;Real Estate;;Melbourne
LKE;Lake Resources;Materials;;Sydney
LTR;Liontown Resources;Materials;;Perth
MP1;Megaport;Information Technology;;Brisbane
NHC;New Hope;Energy;;Brisbane
NIC;Nickel Industries Limited;Materials;;Sydney
NVX;Novonix;Information Technology;;Brisbane
PBH;Pointsbet Holdings;Consumer Discretionary;;Melbourne
PDN;Paladin Energy;Energy;;Perth
PNI;Pinnacle Investment Management;Financials;;Sydney
PRU;Perseus Mining;Materials;;Perth
REH;Reece Group;Industrials;;Melbourne
RMS;Ramelius Resources;Materials;;Perth
SFR;Sandfire Resources;Materials;;Perth
TLX;Telix Pharmaceuticals;Healthcare;;Melbourne
TLC;The Lottery Corporation;Consumer Discretionary;;Sydney
TYR;Tyro Payments;Information Technology;;Sydney
UMG;United Malt Group;Consumer Staples;;Sydney
UWL;Uniti Group;Communication Services;;Adelaide
ZIP;Zip;Financials;;Sydney
