Company Name,Lowest Closing Price,Date of Lowest Price,Opening Price on Lowest Date,Highest Closing Price,Date of Highest Price,Opening Price on Highest Date
CBA,45.106666564941406,2020-03-23,47.97467317895831,158.9003448486328,2024-12-17,156.41521150425478
BHP,15.549700736999512,2020-03-16,15.870566729979808,47.11623001098633,2023-12-28,46.68891136190547
CSL,225.7405242919922,2023-10-30,225.16308624226235,319.16534423828125,2020-02-19,313.4372200496779
WBC,11.383220672607422,2020-03-23,11.690001820507003,33.83000183105469,2024-11-22,33.70000076293945
ANZ,10.721332550048828,2020-03-23,11.36765383180154,32.459999084472656,2024-11-18,32.2599983215332
FMG,4.956789970397949,2020-03-09,5.25720175088337,26.5057315826416,2024-01-31,26.39928380593224
NAB,11.005301475524902,2020-03-23,11.31452851575811,40.06999969482422,2024-11-22,39.75
MQG,60.65935897827149,2020-03-23,66.53831689319854,236.4786071777344,2024-10-21,236.09304482973744
GMG,9.054762840270996,2020-03-19,10.912389266454776,38.30361557006836,2024-11-27,38.32353470328837
WOW,25.147287368774418,2020-05-22,25.176734054607195,37.99323654174805,2023-06-21,37.78572875281416
WES,25.78276824951172,2020-03-23,25.76614454996965,75.11951446533203,2024-08-28,74.36053607283785
TLS,2.276026725769043,2020-10-30,2.293011983220434,4.035756587982178,2023-06-20,3.9992339393892062
RIO,61.27837371826172,2020-03-12,65.07857924201971,128.90121459960938,2024-05-22,127.88833893903464
WDS,10.849111557006836,2020-03-23,11.0835716669455,34.680137634277344,2023-09-06,34.39203708060266
TCL,8.330988883972168,2020-03-19,8.530135914157666,13.845890045166016,2023-04-26,13.618011664197413
ALL,14.510854721069336,2020-03-23,14.88678411739864,69.75,2024-12-05,69.86000061035156
COL,11.830793380737305,2020-02-28,11.87242194681708,18.859928131103516,2024-09-20,18.81086558941462
SCG,1.127049446105957,2020-03-24,1.217686300514809,3.741694211959839,2024-09-19,3.702616502109844
S32,1.420968770980835,2020-03-23,1.408167262436733,4.743207931518555,2022-04-01,4.564556200476911
SUN,6.469642639160156,2020-03-19,7.269924549035194,19.550424575805664,2024-12-06,19.47159217994393
QBE,6.36189079284668,2020-03-23,6.509639271153927,19.645538330078125,2024-12-03,19.46111823043511
BXB,8.060786247253418,2020-03-18,8.27817529388778,19.311012268066406,2024-11-19,18.9661723941458
FPH,15.568586349487305,2022-10-03,15.694062664414863,35.48534393310547,2024-09-12,34.5101442427144
COH,150.07518005371094,2020-03-23,145.54684912666357,342.76904296875,2024-02-29,339.5192052055671
ASX,51.75258255004883,2023-10-20,52.38104064655602,84.33442687988281,2021-11-23,83.3109494905877
STO,2.2586781978607178,2020-03-19,2.464012579484419,7.640232086181641,2024-08-01,7.687746148791121
RHC,33.543270111083984,2024-12-30,34.195555144990756,80.41212463378906,2022-04-22,78.26767430148948
AMC,8.104848861694336,2020-03-17,7.905025178576036,16.481489181518555,2022-12-15,16.38306497620039
ORG,2.7024872303009033,2020-03-23,2.7949408233595263,10.699179649353027,2024-11-22,10.631094257505373
IAG,3.76755690574646,2022-06-17,3.7584567521023344,8.513240814208984,2024-12-09,8.395138158891694
SHL,18.541675567626953,2020-03-20,19.679674044946005,41.60587692260742,2021-12-30,41.819652998206365
DXS,5.733699321746826,2023-10-30,5.824710332541673,10.06978702545166,2020-02-20,10.07729076423507
BSL,7.291882514953613,2020-03-23,7.79353486653346,23.47867202758789,2024-04-10,23.108929964732624
APA,6.295464992523193,2020-03-16,6.860249554520297,10.441316604614258,2022-08-08,10.11689373498541
TWE,6.945167064666748,2020-11-05,7.1022180140268,15.034049987792969,2020-01-24,15.059531542200618
REA,61.76349639892578,2020-03-23,65.54416289685145,253.8111572265625,2024-12-05,255.5034939905759
AIA,4.354565620422363,2020-03-19,4.57762803173836,8.63154411315918,2020-01-08,8.495767600871485
DMP,27.90245246887207,2024-11-14,29.686799265481955,150.4358673095703,2021-09-14,149.35989915465987
CPU,7.403275966644287,2020-03-24,7.93699993078321,33.900962829589844,2024-12-27,33.77232791213565
TAH,0.1867883503437042,2020-03-23,0.1807905576339246,1.1045334339141846,2023-05-29,1.090188857188092
VCX,0.7424075603485107,2020-03-27,0.8347277235133065,2.327354669570923,2024-09-19,2.278665057738924
MGR,1.377562165260315,2020-03-19,1.6401472643276158,2.8359198570251465,2020-02-04,2.79552217668061
QAN,2.118248701095581,2020-03-19,2.207333837517289,9.126285552978516,2024-12-18,8.987708213100605
GPT,2.2830450534820557,2020-03-23,2.244994338878712,5.0165228843688965,2024-09-19,4.899633144391943
EVN,1.733826994895935,2022-10-21,1.772143692429841,5.88033390045166,2020-11-09,5.71623171069118
SGP,1.343398928642273,2020-03-23,1.425724223851824,5.333106517791748,2024-10-17,5.352785858591284
MPL,2.0637292861938477,2020-09-18,2.113658172537306,3.8366832733154297,2024-08-01,3.8366832733154297
JHX,14.9480619430542,2020-03-19,18.556882599935953,62.599998474121094,2024-03-08,62.599998474121094
LLC,5.238790512084961,2024-06-20,5.238790512084961,17.23902702331543,2020-02-21,16.407476202691143
SOL,15.01982593536377,2020-04-03,15.973041153949518,36.690277099609375,2021-09-28,36.87465105822867
ALD,15.543622970581056,2020-03-23,16.361708390085322,40.371002197265625,2024-04-05,40.586158932417014
WOR,4.057978630065918,2020-03-23,4.124231277920557,16.77151107788086,2023-11-15,16.781045981122368
AZJ,2.7795090675354004,2020-03-20,2.9154631832816236,4.160572528839111,2020-01-17,4.175300204912672
